0	MERLIN_Czech-v1.2	CORPUS	NULL	0	883
1	PHA1109004	DOCUMENT	NULL	1	2
2	0645	DOCUMENT	NULL	3	4
3	BER0611003	DOCUMENT	NULL	5	6
4	PHA0411039	DOCUMENT	NULL	7	8
5	0634	DOCUMENT	NULL	9	10
6	0816	DOCUMENT	NULL	11	12
7	MOS0611013	DOCUMENT	NULL	13	14
8	VAR0910011	DOCUMENT	NULL	15	16
9	PHA0411012B	DOCUMENT	NULL	17	18
10	PHA0809010	DOCUMENT	NULL	19	20
11	KYJ0611005A	DOCUMENT	NULL	21	22
12	PHA0810004	DOCUMENT	NULL	23	24
13	PHA0111005A	DOCUMENT	NULL	25	26
14	PHA0510002B	DOCUMENT	NULL	27	28
15	PHA0510038	DOCUMENT	NULL	29	30
16	0913	DOCUMENT	NULL	31	32
17	0826	DOCUMENT	NULL	33	34
18	PHA0411061	DOCUMENT	NULL	35	36
19	LON0610002A	DOCUMENT	NULL	37	38
20	PHA0509041	DOCUMENT	NULL	39	40
21	PHA0112006B	DOCUMENT	NULL	41	42
22	0909	DOCUMENT	NULL	43	44
23	1015	DOCUMENT	NULL	45	46
24	PHA0111002B	DOCUMENT	NULL	47	48
25	0914	DOCUMENT	NULL	49	50
26	PHA0411035	DOCUMENT	NULL	51	52
27	0819	DOCUMENT	NULL	53	54
28	PHA0610006B	DOCUMENT	NULL	55	56
29	LIB0611011	DOCUMENT	NULL	57	58
30	PHA0709008	DOCUMENT	NULL	59	60
31	PHA0411012A	DOCUMENT	NULL	61	62
32	9999	DOCUMENT	NULL	63	64
33	PHA0111004A	DOCUMENT	NULL	65	66
34	PHA1111001A	DOCUMENT	NULL	67	68
35	0801	DOCUMENT	NULL	69	70
36	PHA0810015	DOCUMENT	NULL	71	72
37	0639	DOCUMENT	NULL	73	74
38	PHA0411011B	DOCUMENT	NULL	75	76
39	PHA0111018	DOCUMENT	NULL	77	78
40	PHA0509035	DOCUMENT	NULL	79	80
41	PHA0209013	DOCUMENT	NULL	81	82
42	0921	DOCUMENT	NULL	83	84
43	0912	DOCUMENT	NULL	85	86
44	PHA1109002	DOCUMENT	NULL	87	88
45	0602	DOCUMENT	NULL	89	90
46	PHA0610018	DOCUMENT	NULL	91	92
47	PHA1109005	DOCUMENT	NULL	93	94
48	PHA1110014	DOCUMENT	NULL	95	96
49	0633	DOCUMENT	NULL	97	98
50	PHA0411027	DOCUMENT	NULL	99	100
51	PAR1011014	DOCUMENT	NULL	101	102
52	0818	DOCUMENT	NULL	103	104
53	0907	DOCUMENT	NULL	105	106
54	0619	DOCUMENT	NULL	107	108
55	PHA1109003	DOCUMENT	NULL	109	110
56	ST071122B	DOCUMENT	NULL	111	112
57	PHA0810001	DOCUMENT	NULL	113	114
58	PHA0509039	DOCUMENT	NULL	115	116
59	PHA0510035	DOCUMENT	NULL	117	118
60	0714	DOCUMENT	NULL	119	120
61	0906	DOCUMENT	NULL	121	122
62	PHA0509019	DOCUMENT	NULL	123	124
63	PHA0411053	DOCUMENT	NULL	125	126
64	1010	DOCUMENT	NULL	127	128
65	PHA0411011A	DOCUMENT	NULL	129	130
66	0820	DOCUMENT	NULL	131	132
67	MOS0509001	DOCUMENT	NULL	133	134
68	PHA1111003A	DOCUMENT	NULL	135	136
69	PHA0510003B	DOCUMENT	NULL	137	138
70	PHA0411044	DOCUMENT	NULL	139	140
71	0608	DOCUMENT	NULL	141	142
72	1113	DOCUMENT	NULL	143	144
73	PHA0411047	DOCUMENT	NULL	145	146
74	PHA1110022	DOCUMENT	NULL	147	148
75	PHA0112007A	DOCUMENT	NULL	149	150
76	PHA1110021	DOCUMENT	NULL	151	152
77	PHA0112012B	DOCUMENT	NULL	153	154
78	0628	DOCUMENT	NULL	155	156
79	PHA1109010	DOCUMENT	NULL	157	158
80	PHA0509025	DOCUMENT	NULL	159	160
81	LIB0611002A	DOCUMENT	NULL	161	162
82	KYJ0611006A	DOCUMENT	NULL	163	164
83	PHA1111006B	DOCUMENT	NULL	165	166
84	PHA1111002B	DOCUMENT	NULL	167	168
85	PHA1111006A	DOCUMENT	NULL	169	170
86	0920	DOCUMENT	NULL	171	172
87	PHA0112006A	DOCUMENT	NULL	173	174
88	0922	DOCUMENT	NULL	175	176
89	1111	DOCUMENT	NULL	177	178
90	1017	DOCUMENT	NULL	179	180
91	PHA0209025	DOCUMENT	NULL	181	182
92	0724	DOCUMENT	NULL	183	184
93	PHA0411034	DOCUMENT	NULL	185	186
94	PHA0112003B	DOCUMENT	NULL	187	188
95	PHA1111009A	DOCUMENT	NULL	189	190
96	PHA0510003A	DOCUMENT	NULL	191	192
97	PHA0112002B	DOCUMENT	NULL	193	194
98	PHA0209001	DOCUMENT	NULL	195	196
99	PHA0411009B	DOCUMENT	NULL	197	198
100	PHA0112012A	DOCUMENT	NULL	199	200
101	PHA1111003B	DOCUMENT	NULL	201	202
102	PHA0811018	DOCUMENT	NULL	203	204
103	0617	DOCUMENT	NULL	205	206
104	PHA0710020	DOCUMENT	NULL	207	208
105	PHA0509018	DOCUMENT	NULL	209	210
106	PHA0510029	DOCUMENT	NULL	211	212
107	KYJ0611005B	DOCUMENT	NULL	213	214
108	PHA1109006	DOCUMENT	NULL	215	216
109	0627	DOCUMENT	NULL	217	218
110	PHA0209039	DOCUMENT	NULL	219	220
111	PHA0509013	DOCUMENT	NULL	221	222
112	PHA0509037	DOCUMENT	NULL	223	224
113	PHA0509033	DOCUMENT	NULL	225	226
114	0827	DOCUMENT	NULL	227	228
115	PHA0510010B	DOCUMENT	NULL	229	230
116	0636	DOCUMENT	NULL	231	232
117	0811	DOCUMENT	NULL	233	234
118	0722	DOCUMENT	NULL	235	236
119	0813	DOCUMENT	NULL	237	238
120	0604	DOCUMENT	NULL	239	240
121	PHA1110019	DOCUMENT	NULL	241	242
122	PHA0710018	DOCUMENT	NULL	243	244
123	PHA0510004A	DOCUMENT	NULL	245	246
124	PHA0710021	DOCUMENT	NULL	247	248
125	0629	DOCUMENT	NULL	249	250
126	PHA0610025	DOCUMENT	NULL	251	252
